ID,Name,ProgramType,Address1,Address2,City,StateAbbr,StateName,Zip,Phone,GeneralEmail,Fax,WebSiteUrl,Latitude,Longitude,Distance,OpenHour,CenterIsOpen,CenterStatus,WhyClosed,IsValid,ServiceMessage,ContactName,ContactEmail,ContactPhone
32746311,Anchorage School District,Youth Service Provider,5530 E Northern Lights Boulevard,,Anchorage,AK,Alaska,99504,907-742-4000,Pondolfino_Lou@asdk12.org,,https://www.asdk12.org/domain/1196,61.19424,-149.77563,,,,,,1,,Lou Pondolfino,pondolfino_lou@asdk12.org,907-742-8949
32801512,Goodwill Industries Alaska - Job Connections,Youth Service Provider,8931 Old Seward Hwy/3838 Old Seward Hwy,,Anchorage,AK,Alaska,99501,907-563-6355,kimg@goodwill-alaska.org,541-345-1739,https://goodwill-alaska.org/job-connections/,61.216225,-149.887774,,,,,,1,Programs for justice-impacted job seekers,,,
32746315,National Guard Youth Foundation - Anchorage,Youth Service Provider,1251 Muldoon Road,Suite 114,Anchorage,AK,Alaska,99504,907-375-5553,ralph.harris@alaska.gov,,https://akmya.alaska.gov/home/,61.21066,-149.73099,,,,,,1,,,,
32746317,Nine-Star Enterprises - Anchorage,Youth Service Provider,730 I Street,,Anchorage,AK,Alaska,99501,907-743-6074,info@ninestar.org,907-339-9927,https://ninestar.org/contact-details-locations/,61.21498,-149.90005,,,,,,1,,Roger Hamacher,rogerh@ninestar.com,907-743-6074
32746314,Kuspuk School District,Youth Service Provider,PO Box 49,,Aniak,AK,Alaska,99557,907-222-2078,cwilson@excelalaska.com,,https://www.kuspuk.org/,61.6967,-157.1152,,,,,,3,,Erich Kuball,ehkuball@me.com,907-676‐0696
31329327,Y-K Delta Job Center,Affiliate Center,"460 Ridgecrest Drive, Suite 112",PO Box 1607,Bethel,AK,Alaska,99559-1607,907-543-2210,ykdelta.jobcenter@alaska.gov,907-543-2099,https://www.jobs.state.ak.us/offices/,60.795966,-161.771743,,"Monday - Friday, 8:00 AM - 5:00 PM",Y,,,1,,Destiny Hoover,destiny.hoover@alaska.gov,907-543-2210
32746310,Access Alaska - Fairbanks,Youth Service Provider,3399 Peger Rd,,Fairbanks,AK,Alaska,99709,907-479-7940,info@accessalaska.org,,https://www.accessalaska.org/,64.815065,-147.777271,,,,,,1,,Ann Lefavor,alefavor@accessalaska.net,907-479-7940
32746316,National Guard Youth Foundation - Fairbanks,Youth Service Provider,202 Wein Avenue,,Fairbanks,AK,Alaska,99701,907-374-7960,angela.chapin@alaska.gov,,https://akmya.alaska.gov/home/,64.8361740112305,-147.71142578125,,,,,,3,,,,
32746319,Tanana Chiefs Conference,Youth Service Provider,"122 First Avenue, Suite 600",,Fairbanks,AK,Alaska,99701,907-452-8251 ext. 3353,info@tananachiefs.org,,https://www.tananachiefs.org/,64.84425,-147.70742,,,,,,1,,Katina Charles,katina.charles@tananachiefs.org,907-452‐8251
32820051,Nine-Star Enterprises - Homer,Youth Service Provider,601 E Pioneer Ave,Suite 210,Homer,AK,Alaska,99603-7694,907-744-7584,info@ninestar.org,,https://ninestar.org/contact-details-locations/,59.647978,-151.529121,,,,,,1,,,,
30015,Ketchikan Job Center,Comprehensive Center,2030 Sea Level Drive,Suite 220,Ketchikan,AK,Alaska,99901,907-225-3181,Ketchikan.jobcenter@alaska.gov,907-247-0557,https://jobs.alaska.gov/offices/,55.351133,-131.676702,,"Monday-Friday, 8:00am - 5:00pm",Y,,,1,,Carole Vosburgh,Carole.Vosburgh@alaska.gov,907-228-3234
32746313,Kodiak Island School District,Youth Service Provider,722 Mill Bay Road,,Kodiak,AK,Alaska,99615,907-486-7550,dfitzgerald01@kibsd.org,,https://www.kibsd.org/,57.7933069968423,-152.398111847594,,,,,,1,,Krista Hicks,khicks01@kibsd.org,907-481‐6245
32746312,Kenai Peninsula Borough School District,Youth Service Provider,148 N Binkley,,Soldotna,AK,Alaska,99669,907-283-2166,Mwidaman@KPBSD.k12.ak.us,,https://kpbsd.org/,60.48991,-151.0695,,,,,,1,,Loretta Knudson‐Spalding,lknudson‐spalding@kpbsd.k12.ak.us,907-714‐8918
32838426,Goodwill Industries Alaska - Job Connections,Youth Service Provider,1660 East Financial Drive,,Wasilla,AK,Alaska,99654,907-357-4417,Lindaf@goodwill-alaska.org,,,61.575576,-149.410182,,,,,,1,Programs for justice-impacted job seekers,,,
32746318,Nine-Star Enterprises - Wasilla,Youth Service Provider,300 N. Willow Street,,Wasilla,AK,Alaska,99654,907-373-3006,info@ninestar.org,907-373-3001,https://ninestar.org/contact-details-locations/,61.58255,-149.44793,,,,,,1,,Roger Hamacher,rogerh@ninestar.com,907-373-3006
38807,Alabaster Career Center,Affiliate Center,109 Plaza Circle,,Alabaster,AL,Alabama,35007,205-663-2542,alabaster@alcc.alabama.gov,205-664-9229,https://www.northalabamaworks.com/career-centers/,33.218511,-86.826172,,"8:00am - 5:00pm, Monday - Friday",Y,,,1,,Adenike Adeshina,adenike.adeshina@alcc.alabama.gov,205-663-2542 ext.852412
32512914,Andalusia Career Center,Affiliate Center,212 South Three Notch Street,,Andalusia,AL,Alabama,36420,334-328-6739,enterprise@alcc.alabama.gov,334-393-0958,https://alabamaworks.alabama.gov/vosnet/ContactUs.aspx?tab=2,31.30673867,-86.483129,,"Wednesday, 8:00 am to 4:30 pm",Y,,,1,,Amanda Waters,mandy.waters@alcc.alabama.gov,334-347-0044
32746284,Attalla City Schools,Youth Service Provider,101 Case Avenue Southeast,,Attalla,AL,Alabama,35954,256-538-8051,,,https://www.attalla.k12.al.us/,33.9989452205462,-86.1077674906587,,,,,,1,,Kim Perkins,kperkins@attalla.k12.al.us,256-504-0450
